year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1907,0.2780883,0.39538965,0.32652208,0.0047,20
1907,0.2865051,0.4060131,0.3074818,0.0074,19
1925,0.355,0.371,0.274,0.0633,55
1925,0.34803024,0.37391073,0.27805898,0.0389,54
1925,0.34069312,0.37630874,0.28299817,0.0269,53
1925,0.3336672,0.3786313,0.28770152,0.0221,52
1925,0.3269566,0.3809003,0.2921432,0.0204,51
1925,0.32056686,0.38313222,0.2963009,0.0206,50
1925,0.31450337,0.3853396,0.30015704,0.0219,49
1925,0.3087697,0.38753137,0.3036989,0.0236,48
1925,0.3033672,0.3897142,0.30691856,0.0247,47
1925,0.29829413,0.39189297,0.30981287,0.0269,46
1925,0.291,0.4,0.308,0.0329,45
1925,0.2891159,0.39625221,0.31463185,0.029,44
1925,0.28499457,0.3984384,0.31656703,0.0295,43
1925,0.28117147,0.40063244,0.31819612,0.0296,42
1925,0.2776349,0.40283722,0.3195279,0.0294,41
1925,0.27437285,0.40505585,0.32057127,0.0289,40
1925,0.2713734,0.4072919,0.32133472,0.0281,39
1925,0.26862517,0.40954918,0.32182565,0.0271,38
1925,0.26611778,0.411832,0.32205018,0.0281,37
1925,0.2638422,0.4141451,0.32201266,0.0246,36
1925,0.262,0.412,0.326,0.0201,35
1925,0.25995916,0.41888276,0.32115805,0.0217,34
1925,0.25834367,0.42131853,0.3203378,0.0201,33
1925,0.2569448,0.42380688,0.31924826,0.0185,32
1925,0.25576648,0.42635405,0.3178795,0.017,31
1925,0.25481707,0.4289659,0.31621704,0.0154,30
1925,0.2541108,0.4316478,0.31424138,0.014,29
1925,0.25366947,0.43440342,0.31192708,0.0126,28
1925,0.253,0.438,0.309,0.0147,27
1925,0.2537228,0.44013274,0.30614448,0.0155,26
1925,0.25432822,0.4430873,0.3025845,0.0175,25
1925,0.25543442,0.44606665,0.29849893,0.0198,24
1925,0.25717136,0.4490181,0.29381058,0.0227,23
1925,0.265,0.449,0.286,0.0289,22
1925,0.2634433,0.4543422,0.28221455,0.0305,21
1925,0.26861203,0.45631602,0.27507198,0.0357,20
1925,0.27557364,0.45764354,0.2667828,0.0347,19
1933,0.329,0.356,0.315,0.0289,55
1933,0.32391733,0.35521212,0.32087055,0.0259,54
1933,0.3206046,0.35579526,0.32360005,0.0226,53
1933,0.31699678,0.35689855,0.3261046,0.0218,52
1933,0.31310403,0.35852545,0.32837054,0.0179,51
1933,0.3089753,0.36064392,0.33038077,0.0123,50
1933,0.30467564,0.3632049,0.33211946,0.0079,49
1933,0.30027148,0.3661542,0.33357432,0.001,48
1933,0.29582393,0.36943847,0.3347376,0.0035,47
1933,0.29138538,0.3730083,0.33560625,0.0069,46
1933,0.281,0.373,0.346,0.0108,45
1933,0.28269887,0.38083076,0.33647037,0.0109,44
1933,0.27851224,0.38500646,0.33648127,0.0118,43
1933,0.27446023,0.3893122,0.33622757,0.0121,42
1933,0.27055964,0.3937153,0.3357251,0.0111,41
1933,0.26682404,0.3981838,0.3349921,0.0113,40
1933,0.26326513,0.402686,0.33404896,0.0103,39
1933,0.25989318,0.40718955,0.3329172,0.0087,38
1933,0.25671834,0.41166168,0.33161992,0.0067,37
1933,0.25375068,0.41606864,0.3301807,0.0044,36
1933,0.255,0.417,0.328,0.0028,35
1933,0.24848232,0.424545,0.32697266,0.003,34
1933,0.24620917,0.42853856,0.32525226,0.0075,33
1933,0.24419981,0.43231368,0.32348648,0.0126,32
1933,0.2424772,0.43582347,0.32169935,0.0181,31
1933,0.24107039,0.43901458,0.31991506,0.0238,30
1933,0.240017,0.44182515,0.31815788,0.028,29
1933,0.23936571,0.4441819,0.31645232,0.0348,28
1933,0.238,0.46,0.303,0.0267,27
1933,0.23954308,0.44716376,0.31329313,0.0422,26
1933,0.24056302,0.44755396,0.31188306,0.0435,25
1933,0.24238253,0.4470126,0.31060493,0.0425,24
1933,0.24519286,0.4453528,0.30945438,0.0389,23
1933,0.256,0.429,0.315,0.0474,22
1933,0.25487605,0.4377826,0.3073413,0.0496,21
1933,0.26252577,0.43140686,0.30606735,0.0546,20
1933,0.2731775,0.42273474,0.30408773,0.067,19
